class_name,file,package,kind,modifiers,extends,implements,in_degree,out_degree,internal_degree,instability,depth,reachable,pagerank,betweenness,in_cycle,is_leaf,is_dead,total_imports,n_internal,n_java_stdlib,n_javax_stdlib,n_external,n_nist_other,n_nist_epqdatabase,n_nist_epqimage,n_nist_epqlibrary,n_nist_epqtests,n_nist_epqtools,n_nist_jythongui,n_nist_nistmonte,n_nist_utility
SamplePreparation,SamplePreparation.java,gov.nist.microanalysis.EPQLibrary,class,public abstract,,,1,6,7,0.8571,3,94,0.00212,5.6e-05,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,2
SampleShape,SampleShape.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,,,10,0,10,0.0,0,0,0.007047,0.0,False,True,False,9,0,3,0,0,0,0,0,0,0,0,0,4,2
ScreenedRutherfordScatteringAngle,ScreenedRutherfordScatteringAngle.java,gov.nist.microanalysis.EPQLibrary,class,public,RandomizedScatter,,4,4,8,0.5,4,100,0.003609,0.001686,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpectrumFitResult,SpectrumFitResult.java,gov.nist.microanalysis.EPQLibrary,class,public,,,2,19,21,0.9048,3,94,0.002181,0.002774,False,False,False,19,3,12,0,0,0,0,0,0,0,0,0,0,4
SpectrumFitter8,SpectrumFitter8.java,gov.nist.microanalysis.EPQLibrary,class,public,,,1,18,19,0.9474,4,95,0.002082,0.000451,False,False,False,31,4,14,0,0,0,1,0,0,0,0,0,0,12
SpectrumMath,SpectrumMath.java,gov.nist.microanalysis.EPQLibrary,class,public,DerivedSpectrum,,5,5,10,0.5,2,93,0.003598,0.000249,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SpectrumProperties,SpectrumProperties.java,gov.nist.microanalysis.EPQLibrary,class,public,,"Cloneable, Serializable",58,13,71,0.1831,2,93,0.044717,0.180194,True,False,False,29,2,23,0,0,0,0,0,0,0,0,0,0,4
SpectrumSimulator,SpectrumSimulator.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,4,18,22,0.8182,4,95,0.002481,0.003983,False,False,False,9,1,7,0,0,0,0,0,0,0,0,0,0,1
SpectrumSmoothing,SpectrumSmoothing.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,ISpectrumTransformation,3,6,9,0.6667,2,93,0.002688,0.006751,True,False,False,3,1,2,0,0,0,0,0,0,0,0,0,0,0
SpectrumUtils,SpectrumUtils.java,gov.nist.microanalysis.EPQLibrary,class,final public,,,42,18,60,0.3,2,93,0.021571,0.134575,True,False,False,27,1,19,0,0,0,0,0,0,0,0,0,0,7
StageCoordinate,StageCoordinate.java,gov.nist.microanalysis.EPQLibrary,class,public,,Cloneable,2,1,3,0.3333,1,1,0.005111,0.0,False,False,False,6,0,4,0,0,0,0,0,0,0,0,0,0,2
StandardBundle,StandardBundle.java,gov.nist.microanalysis.EPQLibrary,class,public,,,1,12,13,0.9231,6,99,0.002056,6e-06,False,False,False,25,3,19,0,0,0,0,0,0,0,3,0,0,0
StandardsDatabase2,StandardsDatabase2.java,gov.nist.microanalysis.EPQLibrary,class,public,,Cloneable,2,4,6,0.6667,3,94,0.002226,0.000112,False,False,False,23,0,18,0,0,0,1,0,0,0,2,0,0,2
STEMinSEMCorrection,STEMinSEMCorrection.java,gov.nist.microanalysis.EPQLibrary,class,public,,,1,11,12,0.9167,2,93,0.002238,0.007996,True,False,False,8,0,6,0,0,0,0,0,0,0,0,0,0,2
StoppingPower,StoppingPower.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,5,9,14,0.6429,2,93,0.002804,0.002883,True,False,False,3,0,2,0,0,0,0,0,0,0,0,0,0,1
Strategy,Strategy.java,gov.nist.microanalysis.EPQLibrary,class,public,,Cloneable,2,1,3,0.3333,2,93,0.005346,1e-05,True,False,False,6,0,6,0,0,0,0,0,0,0,0,0,0,0
SurfaceIonization,SurfaceIonization.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,4,5,9,0.5556,2,93,0.002614,0.00036,True,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ToSI,ToSI.java,gov.nist.microanalysis.EPQLibrary,class,final public,,,51,1,52,0.0192,1,1,0.036231,0.001877,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1
TransitionEnergy,TransitionEnergy.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,3,7,10,0.7,2,93,0.005458,0.000323,True,False,False,8,0,7,0,0,0,0,0,0,0,0,0,0,1
TransitionProbabilities,TransitionProbabilities.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,3,5,8,0.625,2,93,0.002937,4.7e-05,True,False,False,11,0,10,0,0,0,0,0,0,0,0,0,0,1
VariableWidthFittingFilter,VariableWidthFittingFilter.java,gov.nist.microanalysis.EPQLibrary,class,public,,,2,2,4,0.5,2,93,0.002246,0.000348,True,False,False,4,1,2,0,0,0,0,0,0,0,0,0,0,1
VectorSet,VectorSet.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,8,8,1.0,3,94,0.001977,0.0,False,False,False,13,0,11,0,0,0,0,0,0,0,1,0,0,1
XPP1989Ext,XPP1989Ext.java,gov.nist.microanalysis.EPQLibrary,class,public,XPP1991,,1,11,12,0.9167,2,93,0.002206,0.004218,True,False,False,4,3,0,0,0,0,0,0,0,0,0,0,0,1
XPP1991,XPP1991.java,gov.nist.microanalysis.EPQLibrary,class,public,CorrectionAlgorithm.PhiRhoZAlgorithm,CorrectionAlgorithm.IAbsorptionSensitivity,7,16,23,0.6957,2,93,0.003038,0.011505,True,False,False,4,0,2,0,0,0,0,0,0,0,0,0,0,2
XRayTransition,XRayTransition.java,gov.nist.microanalysis.EPQLibrary,class,final public,,"Comparable, Cloneable",52,6,58,0.1034,2,93,0.027624,0.036818,True,False,False,4,0,2,0,0,0,0,0,0,0,0,0,0,2
XRayTransitionSet,XRayTransitionSet.java,gov.nist.microanalysis.EPQLibrary,class,public,,"Comparable, Cloneable, Iterable",30,5,35,0.1429,2,93,0.009921,0.000815,True,False,False,9,0,9,0,0,0,0,0,0,0,0,0,0,0
ZetaFactor,ZetaFactor.java,gov.nist.microanalysis.EPQLibrary,class,public,AlgorithmClass,,1,8,9,0.8889,3,94,0.002076,6e-06,False,False,False,10,0,8,0,0,0,0,0,0,0,0,0,0,2
