source_class,source_file,dep_fqn,dep_simple,dep_category,rel_type,is_internal_target
LinearLeastSquares,LinearLeastSquares.java,Jama.SingularValueDecomposition,SingularValueDecomposition,external,import,False
LinearLeastSquaresMS,LinearLeastSquaresMS.java,java.util.Arrays,Arrays,java_stdlib,import,False
LinearLeastSquaresMS,LinearLeastSquaresMS.java,gov.nist.microanalysis.EPQLibrary.EPQException,EPQException,nist_epqlibrary,import,False
LinearLeastSquaresMS,LinearLeastSquaresMS.java,LinearLeastSquares,LinearLeastSquares,internal,extends,True
LinearRegression,LinearRegression.java,Jama.Matrix,Matrix,external,import,False
Math2,Math2.java,java.text.NumberFormat,NumberFormat,java_stdlib,import,False
Math2,Math2.java,java.util.Arrays,Arrays,java_stdlib,import,False
Math2,Math2.java,java.util.Random,Random,java_stdlib,import,False
Math2,Math2.java,gov.nist.microanalysis.EPQLibrary.EPQException,EPQException,nist_epqlibrary,import,False
Math2,Math2.java,Jama.Matrix,Matrix,external,import,False
MCIntegrator,MCIntegrator.java,java.util.Random,Random,java_stdlib,import,False
MCUncertaintyEngine,MCUncertaintyEngine.java,java.util.ArrayList,ArrayList,java_stdlib,import,False
MCUncertaintyEngine,MCUncertaintyEngine.java,java.util.List,List,java_stdlib,import,False
MCUncertaintyEngine,MCUncertaintyEngine.java,java.util.Map,Map,java_stdlib,import,False
MCUncertaintyEngine,MCUncertaintyEngine.java,java.util.TreeMap,TreeMap,java_stdlib,import,False
MemberSet,MemberSet.java,java.util.Arrays,Arrays,java_stdlib,import,False
MultiDHistogram,MultiDHistogram.java,java.util.Arrays,Arrays,java_stdlib,import,False
MultiDHistogram,MultiDHistogram.java,java.util.Collections,Collections,java_stdlib,import,False
MultiDHistogram,MultiDHistogram.java,java.util.Set,Set,java_stdlib,import,False
MultiDHistogram,MultiDHistogram.java,java.util.TreeSet,TreeSet,java_stdlib,import,False
Pair,Pair.java,java.util.Comparator,Comparator,java_stdlib,import,False
PoissonDeviate,PoissonDeviate.java,java.util.Random,Random,java_stdlib,import,False
PrintUtilities,PrintUtilities.java,java.awt.Component,Component,java_stdlib,import,False
PrintUtilities,PrintUtilities.java,java.awt.Dimension,Dimension,java_stdlib,import,False
PrintUtilities,PrintUtilities.java,java.awt.Graphics,Graphics,java_stdlib,import,False
PrintUtilities,PrintUtilities.java,java.awt.Graphics2D,Graphics2D,java_stdlib,import,False
PrintUtilities,PrintUtilities.java,java.awt.print.PageFormat,PageFormat,java_stdlib,import,False
PrintUtilities,PrintUtilities.java,java.awt.print.Paper,Paper,java_stdlib,import,False
PrintUtilities,PrintUtilities.java,java.awt.print.Printable,Printable,java_stdlib,import,False
