cycle,length,position,class_name
21,15,12,SpectrumProperties
21,15,13,QuantifyUsingSTEMinSEM
21,15,14,FilterFit
22,16,0,FilteredSpectrum
22,16,1,DerivedSpectrum
22,16,2,BaseSpectrum
22,16,3,SpectrumUtils
22,16,4,EDSDetector
22,16,5,Element
22,16,6,MeanIonizationPotential
22,16,7,AlgorithmClass
22,16,8,AlgorithmUser
22,16,9,CorrectionAlgorithm
22,16,10,Armstrong1982ParticleCorrection
22,16,11,Armstrong1982Correction
22,16,12,Armstrong1982Base
22,16,13,SpectrumProperties
22,16,14,QuantifyUsingSTEMinSEM
22,16,15,FilterFit
23,14,0,FilteredSpectrum
23,14,1,DerivedSpectrum
23,14,2,BaseSpectrum
23,14,3,SpectrumUtils
23,14,4,EDSDetector
23,14,5,Element
23,14,6,MeanIonizationPotential
23,14,7,AlgorithmClass
23,14,8,AlgorithmUser
23,14,9,CorrectionAlgorithm
23,14,10,Armstrong1982ParticleCorrection
23,14,11,SpectrumProperties
23,14,12,QuantifyUsingSTEMinSEM
23,14,13,FilterFit
24,16,0,FilteredSpectrum
24,16,1,DerivedSpectrum
24,16,2,BaseSpectrum
24,16,3,SpectrumUtils
24,16,4,EDSDetector
24,16,5,Element
24,16,6,MeanIonizationPotential
24,16,7,AlgorithmClass
24,16,8,LitReference
24,16,9,Riveros1993
24,16,10,Composition
24,16,11,AlgorithmUser
24,16,12,CorrectionAlgorithm
24,16,13,SpectrumProperties
24,16,14,QuantifyUsingSTEMinSEM
24,16,15,FilterFit
25,17,0,FilteredSpectrum
25,17,1,DerivedSpectrum
25,17,2,BaseSpectrum
25,17,3,SpectrumUtils
25,17,4,EDSDetector
25,17,5,Element
25,17,6,MeanIonizationPotential
25,17,7,AlgorithmClass
25,17,8,LitReference
25,17,9,Riveros1993
25,17,10,Composition
25,17,11,AlgorithmUser
25,17,12,CorrectionAlgorithm
25,17,13,Fluorescence
25,17,14,SpectrumProperties
25,17,15,QuantifyUsingSTEMinSEM
25,17,16,FilterFit
26,17,0,FilteredSpectrum
26,17,1,DerivedSpectrum
26,17,2,BaseSpectrum
26,17,3,SpectrumUtils
26,17,4,EDSDetector
26,17,5,Element
26,17,6,MeanIonizationPotential
26,17,7,AlgorithmClass
26,17,8,LitReference
26,17,9,Riveros1993
26,17,10,Composition
26,17,11,AlgorithmUser
26,17,12,CorrectionAlgorithm
26,17,13,PAP1991
26,17,14,SpectrumProperties
26,17,15,QuantifyUsingSTEMinSEM
26,17,16,FilterFit
27,17,0,FilteredSpectrum
27,17,1,DerivedSpectrum
27,17,2,BaseSpectrum
27,17,3,SpectrumUtils
27,17,4,EDSDetector
27,17,5,Element
27,17,6,MeanIonizationPotential
27,17,7,AlgorithmClass
27,17,8,LitReference
27,17,9,Riveros1993
27,17,10,Composition
27,17,11,AlgorithmUser
27,17,12,CorrectionAlgorithm
27,17,13,XPP1991
27,17,14,SpectrumProperties
27,17,15,QuantifyUsingSTEMinSEM
27,17,16,FilterFit
28,18,0,FilteredSpectrum
28,18,1,DerivedSpectrum
28,18,2,BaseSpectrum
28,18,3,SpectrumUtils
28,18,4,EDSDetector
28,18,5,Element
28,18,6,MeanIonizationPotential
28,18,7,AlgorithmClass
28,18,8,LitReference
28,18,9,Riveros1993
28,18,10,Composition
28,18,11,AlgorithmUser
28,18,12,CorrectionAlgorithm
28,18,13,XPP1991
28,18,14,PAP1991
28,18,15,SpectrumProperties
28,18,16,QuantifyUsingSTEMinSEM
28,18,17,FilterFit
29,18,0,FilteredSpectrum
29,18,1,DerivedSpectrum
29,18,2,BaseSpectrum
29,18,3,SpectrumUtils
29,18,4,EDSDetector
29,18,5,Element
29,18,6,MeanIonizationPotential
29,18,7,AlgorithmClass
29,18,8,LitReference
29,18,9,Riveros1993
29,18,10,Composition
29,18,11,AlgorithmUser
29,18,12,CorrectionAlgorithm
29,18,13,XPP1989Ext
29,18,14,XPP1991
29,18,15,SpectrumProperties
29,18,16,QuantifyUsingSTEMinSEM
29,18,17,FilterFit
30,19,0,FilteredSpectrum
30,19,1,DerivedSpectrum
30,19,2,BaseSpectrum
30,19,3,SpectrumUtils
30,19,4,EDSDetector
30,19,5,Element
30,19,6,MeanIonizationPotential
30,19,7,AlgorithmClass
30,19,8,LitReference
30,19,9,Riveros1993
30,19,10,Composition
30,19,11,AlgorithmUser
30,19,12,CorrectionAlgorithm
30,19,13,XPP1989Ext
30,19,14,XPP1991
30,19,15,PAP1991
30,19,16,SpectrumProperties
30,19,17,QuantifyUsingSTEMinSEM
30,19,18,FilterFit
31,18,0,FilteredSpectrum
31,18,1,DerivedSpectrum
31,18,2,BaseSpectrum
31,18,3,SpectrumUtils
31,18,4,EDSDetector
31,18,5,Element
31,18,6,MeanIonizationPotential
31,18,7,AlgorithmClass
31,18,8,LitReference
31,18,9,Riveros1993
31,18,10,Composition
31,18,11,AlgorithmUser
31,18,12,CorrectionAlgorithm
31,18,13,XPP1989Ext
31,18,14,PAP1991
31,18,15,SpectrumProperties
31,18,16,QuantifyUsingSTEMinSEM
31,18,17,FilterFit
32,17,0,FilteredSpectrum
32,17,1,DerivedSpectrum
32,17,2,BaseSpectrum
32,17,3,SpectrumUtils
32,17,4,EDSDetector
32,17,5,Element
32,17,6,MeanIonizationPotential
32,17,7,AlgorithmClass
32,17,8,LitReference
32,17,9,Riveros1993
32,17,10,Composition
32,17,11,AlgorithmUser
32,17,12,CorrectionAlgorithm
32,17,13,XPP1989Ext
32,17,14,SpectrumProperties
32,17,15,QuantifyUsingSTEMinSEM
32,17,16,FilterFit
33,18,0,FilteredSpectrum
33,18,1,DerivedSpectrum
33,18,2,BaseSpectrum
33,18,3,SpectrumUtils
33,18,4,EDSDetector
33,18,5,Element
33,18,6,MeanIonizationPotential
33,18,7,AlgorithmClass
33,18,8,LitReference
33,18,9,Riveros1993
33,18,10,Composition
33,18,11,AlgorithmUser
33,18,12,CorrectionAlgorithm
33,18,13,Armstrong1982Correction
33,18,14,Armstrong1982Base
33,18,15,SpectrumProperties
33,18,16,QuantifyUsingSTEMinSEM
33,18,17,FilterFit
34,18,0,FilteredSpectrum
34,18,1,DerivedSpectrum
34,18,2,BaseSpectrum
34,18,3,SpectrumUtils
34,18,4,EDSDetector
34,18,5,Element
34,18,6,MeanIonizationPotential
34,18,7,AlgorithmClass
34,18,8,LitReference
34,18,9,Riveros1993
34,18,10,Composition
34,18,11,AlgorithmUser
34,18,12,CorrectionAlgorithm
34,18,13,Armstrong1982ParticleCorrection
34,18,14,Armstrong1982Base
34,18,15,SpectrumProperties
34,18,16,QuantifyUsingSTEMinSEM
34,18,17,FilterFit
35,19,0,FilteredSpectrum
35,19,1,DerivedSpectrum
35,19,2,BaseSpectrum
35,19,3,SpectrumUtils
35,19,4,EDSDetector
35,19,5,Element
35,19,6,MeanIonizationPotential
35,19,7,AlgorithmClass
35,19,8,LitReference
35,19,9,Riveros1993
35,19,10,Composition
35,19,11,AlgorithmUser
35,19,12,CorrectionAlgorithm
35,19,13,Armstrong1982ParticleCorrection
35,19,14,Armstrong1982Correction
35,19,15,Armstrong1982Base
35,19,16,SpectrumProperties
35,19,17,QuantifyUsingSTEMinSEM
35,19,18,FilterFit
36,17,0,FilteredSpectrum
36,17,1,DerivedSpectrum
36,17,2,BaseSpectrum
36,17,3,SpectrumUtils
36,17,4,EDSDetector
36,17,5,Element
36,17,6,MeanIonizationPotential
36,17,7,AlgorithmClass
36,17,8,LitReference
36,17,9,Riveros1993
36,17,10,Composition
36,17,11,AlgorithmUser
36,17,12,CorrectionAlgorithm
36,17,13,Armstrong1982ParticleCorrection
36,17,14,SpectrumProperties
36,17,15,QuantifyUsingSTEMinSEM
36,17,16,FilterFit
37,17,0,FilteredSpectrum
37,17,1,DerivedSpectrum
37,17,2,BaseSpectrum
37,17,3,SpectrumUtils
37,17,4,EDSDetector
37,17,5,Element
37,17,6,MeanIonizationPotential
37,17,7,AlgorithmClass
37,17,8,LitReference
37,17,9,Riveros1993
37,17,10,MassAbsorptionCoefficient
37,17,11,AtomicShell
37,17,12,AlgorithmUser
37,17,13,CorrectionAlgorithm
37,17,14,SpectrumProperties
37,17,15,QuantifyUsingSTEMinSEM
