cycle,length,position,class_name
249,18,13,XPP1991
249,18,14,PAP1991
249,18,15,SpectrumProperties
249,18,16,QuantifyUsingSTEMinSEM
249,18,17,FilterFit
250,18,0,FilteredSpectrum
250,18,1,DerivedSpectrum
250,18,2,BaseSpectrum
250,18,3,SpectrumUtils
250,18,4,EDSDetector
250,18,5,Element
250,18,6,BetheElectronEnergyLoss
250,18,7,LitReference
250,18,8,Riveros1993
250,18,9,MeanIonizationPotential
250,18,10,Composition
250,18,11,AlgorithmUser
250,18,12,CorrectionAlgorithm
250,18,13,XPP1989Ext
250,18,14,XPP1991
250,18,15,SpectrumProperties
250,18,16,QuantifyUsingSTEMinSEM
250,18,17,FilterFit
251,19,0,FilteredSpectrum
251,19,1,DerivedSpectrum
251,19,2,BaseSpectrum
251,19,3,SpectrumUtils
251,19,4,EDSDetector
251,19,5,Element
251,19,6,BetheElectronEnergyLoss
251,19,7,LitReference
251,19,8,Riveros1993
251,19,9,MeanIonizationPotential
251,19,10,Composition
251,19,11,AlgorithmUser
251,19,12,CorrectionAlgorithm
251,19,13,XPP1989Ext
251,19,14,XPP1991
251,19,15,PAP1991
251,19,16,SpectrumProperties
251,19,17,QuantifyUsingSTEMinSEM
251,19,18,FilterFit
252,18,0,FilteredSpectrum
252,18,1,DerivedSpectrum
252,18,2,BaseSpectrum
252,18,3,SpectrumUtils
252,18,4,EDSDetector
252,18,5,Element
252,18,6,BetheElectronEnergyLoss
252,18,7,LitReference
252,18,8,Riveros1993
252,18,9,MeanIonizationPotential
252,18,10,Composition
252,18,11,AlgorithmUser
252,18,12,CorrectionAlgorithm
252,18,13,XPP1989Ext
252,18,14,PAP1991
252,18,15,SpectrumProperties
252,18,16,QuantifyUsingSTEMinSEM
252,18,17,FilterFit
253,17,0,FilteredSpectrum
253,17,1,DerivedSpectrum
253,17,2,BaseSpectrum
253,17,3,SpectrumUtils
253,17,4,EDSDetector
253,17,5,Element
253,17,6,BetheElectronEnergyLoss
253,17,7,LitReference
253,17,8,Riveros1993
253,17,9,MeanIonizationPotential
253,17,10,Composition
253,17,11,AlgorithmUser
253,17,12,CorrectionAlgorithm
253,17,13,XPP1989Ext
253,17,14,SpectrumProperties
253,17,15,QuantifyUsingSTEMinSEM
253,17,16,FilterFit
254,18,0,FilteredSpectrum
254,18,1,DerivedSpectrum
254,18,2,BaseSpectrum
254,18,3,SpectrumUtils
254,18,4,EDSDetector
254,18,5,Element
254,18,6,BetheElectronEnergyLoss
254,18,7,LitReference
254,18,8,Riveros1993
254,18,9,MeanIonizationPotential
254,18,10,Composition
254,18,11,AlgorithmUser
254,18,12,CorrectionAlgorithm
254,18,13,Armstrong1982Correction
254,18,14,Armstrong1982Base
254,18,15,SpectrumProperties
254,18,16,QuantifyUsingSTEMinSEM
254,18,17,FilterFit
255,18,0,FilteredSpectrum
255,18,1,DerivedSpectrum
255,18,2,BaseSpectrum
255,18,3,SpectrumUtils
255,18,4,EDSDetector
255,18,5,Element
255,18,6,BetheElectronEnergyLoss
255,18,7,LitReference
255,18,8,Riveros1993
255,18,9,MeanIonizationPotential
255,18,10,Composition
255,18,11,AlgorithmUser
255,18,12,CorrectionAlgorithm
255,18,13,Armstrong1982ParticleCorrection
255,18,14,Armstrong1982Base
255,18,15,SpectrumProperties
255,18,16,QuantifyUsingSTEMinSEM
255,18,17,FilterFit
256,19,0,FilteredSpectrum
256,19,1,DerivedSpectrum
256,19,2,BaseSpectrum
256,19,3,SpectrumUtils
256,19,4,EDSDetector
256,19,5,Element
256,19,6,BetheElectronEnergyLoss
256,19,7,LitReference
256,19,8,Riveros1993
256,19,9,MeanIonizationPotential
256,19,10,Composition
256,19,11,AlgorithmUser
256,19,12,CorrectionAlgorithm
256,19,13,Armstrong1982ParticleCorrection
256,19,14,Armstrong1982Correction
256,19,15,Armstrong1982Base
256,19,16,SpectrumProperties
256,19,17,QuantifyUsingSTEMinSEM
256,19,18,FilterFit
257,17,0,FilteredSpectrum
257,17,1,DerivedSpectrum
257,17,2,BaseSpectrum
257,17,3,SpectrumUtils
257,17,4,EDSDetector
257,17,5,Element
257,17,6,BetheElectronEnergyLoss
257,17,7,LitReference
257,17,8,Riveros1993
257,17,9,MeanIonizationPotential
257,17,10,Composition
257,17,11,AlgorithmUser
257,17,12,CorrectionAlgorithm
257,17,13,Armstrong1982ParticleCorrection
257,17,14,SpectrumProperties
257,17,15,QuantifyUsingSTEMinSEM
257,17,16,FilterFit
258,16,0,FilteredSpectrum
258,16,1,DerivedSpectrum
258,16,2,BaseSpectrum
258,16,3,SpectrumUtils
258,16,4,EDSDetector
258,16,5,Element
258,16,6,BetheElectronEnergyLoss
258,16,7,LitReference
258,16,8,Riveros1993
258,16,9,MassAbsorptionCoefficient
258,16,10,AlgorithmClass
258,16,11,AlgorithmUser
258,16,12,CorrectionAlgorithm
258,16,13,SpectrumProperties
258,16,14,QuantifyUsingSTEMinSEM
258,16,15,FilterFit
259,17,0,FilteredSpectrum
259,17,1,DerivedSpectrum
259,17,2,BaseSpectrum
259,17,3,SpectrumUtils
259,17,4,EDSDetector
259,17,5,Element
259,17,6,BetheElectronEnergyLoss
259,17,7,LitReference
259,17,8,Riveros1993
259,17,9,MassAbsorptionCoefficient
259,17,10,AlgorithmClass
259,17,11,AlgorithmUser
259,17,12,CorrectionAlgorithm
259,17,13,Fluorescence
259,17,14,SpectrumProperties
259,17,15,QuantifyUsingSTEMinSEM
259,17,16,FilterFit
260,17,0,FilteredSpectrum
260,17,1,DerivedSpectrum
260,17,2,BaseSpectrum
260,17,3,SpectrumUtils
260,17,4,EDSDetector
260,17,5,Element
260,17,6,BetheElectronEnergyLoss
260,17,7,LitReference
260,17,8,Riveros1993
260,17,9,MassAbsorptionCoefficient
260,17,10,AlgorithmClass
260,17,11,AlgorithmUser
260,17,12,CorrectionAlgorithm
260,17,13,PAP1991
260,17,14,SpectrumProperties
260,17,15,QuantifyUsingSTEMinSEM
260,17,16,FilterFit
261,17,0,FilteredSpectrum
261,17,1,DerivedSpectrum
261,17,2,BaseSpectrum
261,17,3,SpectrumUtils
261,17,4,EDSDetector
261,17,5,Element
261,17,6,BetheElectronEnergyLoss
261,17,7,LitReference
261,17,8,Riveros1993
261,17,9,MassAbsorptionCoefficient
261,17,10,AlgorithmClass
261,17,11,AlgorithmUser
261,17,12,CorrectionAlgorithm
261,17,13,XPP1991
261,17,14,SpectrumProperties
261,17,15,QuantifyUsingSTEMinSEM
261,17,16,FilterFit
262,18,0,FilteredSpectrum
262,18,1,DerivedSpectrum
262,18,2,BaseSpectrum
262,18,3,SpectrumUtils
262,18,4,EDSDetector
262,18,5,Element
262,18,6,BetheElectronEnergyLoss
262,18,7,LitReference
262,18,8,Riveros1993
262,18,9,MassAbsorptionCoefficient
262,18,10,AlgorithmClass
262,18,11,AlgorithmUser
262,18,12,CorrectionAlgorithm
262,18,13,XPP1991
262,18,14,PAP1991
262,18,15,SpectrumProperties
262,18,16,QuantifyUsingSTEMinSEM
262,18,17,FilterFit
263,18,0,FilteredSpectrum
263,18,1,DerivedSpectrum
263,18,2,BaseSpectrum
263,18,3,SpectrumUtils
263,18,4,EDSDetector
263,18,5,Element
263,18,6,BetheElectronEnergyLoss
263,18,7,LitReference
263,18,8,Riveros1993
263,18,9,MassAbsorptionCoefficient
263,18,10,AlgorithmClass
263,18,11,AlgorithmUser
263,18,12,CorrectionAlgorithm
263,18,13,XPP1989Ext
263,18,14,XPP1991
263,18,15,SpectrumProperties
263,18,16,QuantifyUsingSTEMinSEM
263,18,17,FilterFit
264,19,0,FilteredSpectrum
264,19,1,DerivedSpectrum
264,19,2,BaseSpectrum
264,19,3,SpectrumUtils
264,19,4,EDSDetector
264,19,5,Element
264,19,6,BetheElectronEnergyLoss
264,19,7,LitReference
264,19,8,Riveros1993
264,19,9,MassAbsorptionCoefficient
264,19,10,AlgorithmClass
264,19,11,AlgorithmUser
264,19,12,CorrectionAlgorithm
264,19,13,XPP1989Ext
264,19,14,XPP1991
264,19,15,PAP1991
264,19,16,SpectrumProperties
264,19,17,QuantifyUsingSTEMinSEM
264,19,18,FilterFit
265,18,0,FilteredSpectrum
265,18,1,DerivedSpectrum
265,18,2,BaseSpectrum
265,18,3,SpectrumUtils
265,18,4,EDSDetector
265,18,5,Element
265,18,6,BetheElectronEnergyLoss
265,18,7,LitReference
265,18,8,Riveros1993
265,18,9,MassAbsorptionCoefficient
265,18,10,AlgorithmClass
265,18,11,AlgorithmUser
265,18,12,CorrectionAlgorithm
265,18,13,XPP1989Ext
265,18,14,PAP1991
265,18,15,SpectrumProperties
265,18,16,QuantifyUsingSTEMinSEM
265,18,17,FilterFit
266,17,0,FilteredSpectrum
266,17,1,DerivedSpectrum
266,17,2,BaseSpectrum
266,17,3,SpectrumUtils
266,17,4,EDSDetector
266,17,5,Element
266,17,6,BetheElectronEnergyLoss
266,17,7,LitReference
266,17,8,Riveros1993
266,17,9,MassAbsorptionCoefficient
266,17,10,AlgorithmClass
266,17,11,AlgorithmUser
266,17,12,CorrectionAlgorithm
266,17,13,XPP1989Ext
266,17,14,SpectrumProperties
266,17,15,QuantifyUsingSTEMinSEM
266,17,16,FilterFit
267,18,0,FilteredSpectrum
267,18,1,DerivedSpectrum
267,18,2,BaseSpectrum
267,18,3,SpectrumUtils
267,18,4,EDSDetector
267,18,5,Element
267,18,6,BetheElectronEnergyLoss
267,18,7,LitReference
267,18,8,Riveros1993
267,18,9,MassAbsorptionCoefficient
267,18,10,AlgorithmClass
267,18,11,AlgorithmUser
267,18,12,CorrectionAlgorithm
267,18,13,Armstrong1982Correction
267,18,14,Armstrong1982Base
267,18,15,SpectrumProperties
267,18,16,QuantifyUsingSTEMinSEM
267,18,17,FilterFit
268,18,0,FilteredSpectrum
268,18,1,DerivedSpectrum
268,18,2,BaseSpectrum
268,18,3,SpectrumUtils
268,18,4,EDSDetector
268,18,5,Element
268,18,6,BetheElectronEnergyLoss
268,18,7,LitReference
268,18,8,Riveros1993
268,18,9,MassAbsorptionCoefficient
268,18,10,AlgorithmClass
268,18,11,AlgorithmUser
268,18,12,CorrectionAlgorithm
268,18,13,Armstrong1982ParticleCorrection
268,18,14,Armstrong1982Base
268,18,15,SpectrumProperties
268,18,16,QuantifyUsingSTEMinSEM
268,18,17,FilterFit
269,19,0,FilteredSpectrum
269,19,1,DerivedSpectrum
269,19,2,BaseSpectrum
269,19,3,SpectrumUtils
269,19,4,EDSDetector
269,19,5,Element
269,19,6,BetheElectronEnergyLoss
269,19,7,LitReference
269,19,8,Riveros1993
269,19,9,MassAbsorptionCoefficient
269,19,10,AlgorithmClass
269,19,11,AlgorithmUser
269,19,12,CorrectionAlgorithm
269,19,13,Armstrong1982ParticleCorrection
269,19,14,Armstrong1982Correction
269,19,15,Armstrong1982Base
269,19,16,SpectrumProperties
269,19,17,QuantifyUsingSTEMinSEM
269,19,18,FilterFit
270,17,0,FilteredSpectrum
270,17,1,DerivedSpectrum
270,17,2,BaseSpectrum
270,17,3,SpectrumUtils
270,17,4,EDSDetector
270,17,5,Element
270,17,6,BetheElectronEnergyLoss
270,17,7,LitReference
270,17,8,Riveros1993
270,17,9,MassAbsorptionCoefficient
270,17,10,AlgorithmClass
270,17,11,AlgorithmUser
270,17,12,CorrectionAlgorithm
270,17,13,Armstrong1982ParticleCorrection
270,17,14,SpectrumProperties
270,17,15,QuantifyUsingSTEMinSEM
270,17,16,FilterFit
271,16,0,FilteredSpectrum
271,16,1,DerivedSpectrum
271,16,2,BaseSpectrum
271,16,3,SpectrumUtils
271,16,4,EDSDetector
271,16,5,Element
271,16,6,BetheElectronEnergyLoss
271,16,7,LitReference
271,16,8,Riveros1993
271,16,9,MassAbsorptionCoefficient
271,16,10,AtomicShell
271,16,11,AlgorithmUser
271,16,12,CorrectionAlgorithm
271,16,13,SpectrumProperties
271,16,14,QuantifyUsingSTEMinSEM
271,16,15,FilterFit
272,17,0,FilteredSpectrum
272,17,1,DerivedSpectrum
272,17,2,BaseSpectrum
272,17,3,SpectrumUtils
272,17,4,EDSDetector
272,17,5,Element
272,17,6,BetheElectronEnergyLoss
272,17,7,LitReference
272,17,8,Riveros1993
272,17,9,MassAbsorptionCoefficient
272,17,10,AtomicShell
272,17,11,AlgorithmUser
272,17,12,CorrectionAlgorithm
272,17,13,Fluorescence
272,17,14,SpectrumProperties
272,17,15,QuantifyUsingSTEMinSEM
272,17,16,FilterFit
273,17,0,FilteredSpectrum
273,17,1,DerivedSpectrum
273,17,2,BaseSpectrum
273,17,3,SpectrumUtils
273,17,4,EDSDetector
273,17,5,Element
273,17,6,BetheElectronEnergyLoss
273,17,7,LitReference
273,17,8,Riveros1993
273,17,9,MassAbsorptionCoefficient
273,17,10,AtomicShell
273,17,11,AlgorithmUser
273,17,12,CorrectionAlgorithm
273,17,13,PAP1991
273,17,14,SpectrumProperties
273,17,15,QuantifyUsingSTEMinSEM
273,17,16,FilterFit
274,17,0,FilteredSpectrum
274,17,1,DerivedSpectrum
274,17,2,BaseSpectrum
274,17,3,SpectrumUtils
274,17,4,EDSDetector
274,17,5,Element
274,17,6,BetheElectronEnergyLoss
274,17,7,LitReference
274,17,8,Riveros1993
274,17,9,MassAbsorptionCoefficient
274,17,10,AtomicShell
274,17,11,AlgorithmUser
274,17,12,CorrectionAlgorithm
274,17,13,XPP1991
274,17,14,SpectrumProperties
274,17,15,QuantifyUsingSTEMinSEM
274,17,16,FilterFit
275,18,0,FilteredSpectrum
275,18,1,DerivedSpectrum
275,18,2,BaseSpectrum
275,18,3,SpectrumUtils
275,18,4,EDSDetector
275,18,5,Element
275,18,6,BetheElectronEnergyLoss
275,18,7,LitReference
275,18,8,Riveros1993
275,18,9,MassAbsorptionCoefficient
275,18,10,AtomicShell
275,18,11,AlgorithmUser
275,18,12,CorrectionAlgorithm
275,18,13,XPP1991
275,18,14,PAP1991
275,18,15,SpectrumProperties
275,18,16,QuantifyUsingSTEMinSEM
275,18,17,FilterFit
276,18,0,FilteredSpectrum
276,18,1,DerivedSpectrum
276,18,2,BaseSpectrum
276,18,3,SpectrumUtils
276,18,4,EDSDetector
276,18,5,Element
276,18,6,BetheElectronEnergyLoss
276,18,7,LitReference
276,18,8,Riveros1993
276,18,9,MassAbsorptionCoefficient
276,18,10,AtomicShell
276,18,11,AlgorithmUser
276,18,12,CorrectionAlgorithm
276,18,13,XPP1989Ext
276,18,14,XPP1991
276,18,15,SpectrumProperties
276,18,16,QuantifyUsingSTEMinSEM
276,18,17,FilterFit
277,19,0,FilteredSpectrum
277,19,1,DerivedSpectrum
277,19,2,BaseSpectrum
277,19,3,SpectrumUtils
277,19,4,EDSDetector
277,19,5,Element
277,19,6,BetheElectronEnergyLoss
277,19,7,LitReference
277,19,8,Riveros1993
277,19,9,MassAbsorptionCoefficient
277,19,10,AtomicShell
277,19,11,AlgorithmUser
277,19,12,CorrectionAlgorithm
277,19,13,XPP1989Ext
277,19,14,XPP1991
277,19,15,PAP1991
277,19,16,SpectrumProperties
277,19,17,QuantifyUsingSTEMinSEM
277,19,18,FilterFit
278,18,0,FilteredSpectrum
278,18,1,DerivedSpectrum
278,18,2,BaseSpectrum
278,18,3,SpectrumUtils
278,18,4,EDSDetector
278,18,5,Element
278,18,6,BetheElectronEnergyLoss
278,18,7,LitReference
278,18,8,Riveros1993
278,18,9,MassAbsorptionCoefficient
278,18,10,AtomicShell
278,18,11,AlgorithmUser
278,18,12,CorrectionAlgorithm
278,18,13,XPP1989Ext
278,18,14,PAP1991
278,18,15,SpectrumProperties
278,18,16,QuantifyUsingSTEMinSEM
278,18,17,FilterFit
279,17,0,FilteredSpectrum
279,17,1,DerivedSpectrum
279,17,2,BaseSpectrum
279,17,3,SpectrumUtils
279,17,4,EDSDetector
279,17,5,Element
279,17,6,BetheElectronEnergyLoss
279,17,7,LitReference
279,17,8,Riveros1993
279,17,9,MassAbsorptionCoefficient
279,17,10,AtomicShell
279,17,11,AlgorithmUser
279,17,12,CorrectionAlgorithm
279,17,13,XPP1989Ext
279,17,14,SpectrumProperties
279,17,15,QuantifyUsingSTEMinSEM
279,17,16,FilterFit
280,18,0,FilteredSpectrum
280,18,1,DerivedSpectrum
280,18,2,BaseSpectrum
280,18,3,SpectrumUtils
280,18,4,EDSDetector
280,18,5,Element
280,18,6,BetheElectronEnergyLoss
280,18,7,LitReference
280,18,8,Riveros1993
280,18,9,MassAbsorptionCoefficient
280,18,10,AtomicShell
280,18,11,AlgorithmUser
280,18,12,CorrectionAlgorithm
280,18,13,Armstrong1982Correction
280,18,14,Armstrong1982Base
280,18,15,SpectrumProperties
280,18,16,QuantifyUsingSTEMinSEM
280,18,17,FilterFit
281,18,0,FilteredSpectrum
281,18,1,DerivedSpectrum
281,18,2,BaseSpectrum
281,18,3,SpectrumUtils
281,18,4,EDSDetector
281,18,5,Element
281,18,6,BetheElectronEnergyLoss
281,18,7,LitReference
281,18,8,Riveros1993
281,18,9,MassAbsorptionCoefficient
281,18,10,AtomicShell
281,18,11,AlgorithmUser
281,18,12,CorrectionAlgorithm
281,18,13,Armstrong1982ParticleCorrection
281,18,14,Armstrong1982Base
281,18,15,SpectrumProperties
281,18,16,QuantifyUsingSTEMinSEM
281,18,17,FilterFit
282,19,0,FilteredSpectrum
282,19,1,DerivedSpectrum
282,19,2,BaseSpectrum
282,19,3,SpectrumUtils
282,19,4,EDSDetector
282,19,5,Element
282,19,6,BetheElectronEnergyLoss
282,19,7,LitReference
282,19,8,Riveros1993
282,19,9,MassAbsorptionCoefficient
282,19,10,AtomicShell
282,19,11,AlgorithmUser
282,19,12,CorrectionAlgorithm
282,19,13,Armstrong1982ParticleCorrection
282,19,14,Armstrong1982Correction
282,19,15,Armstrong1982Base
282,19,16,SpectrumProperties
282,19,17,QuantifyUsingSTEMinSEM
282,19,18,FilterFit
283,17,0,FilteredSpectrum
283,17,1,DerivedSpectrum
283,17,2,BaseSpectrum
283,17,3,SpectrumUtils
283,17,4,EDSDetector
283,17,5,Element
283,17,6,BetheElectronEnergyLoss
283,17,7,LitReference
283,17,8,Riveros1993
283,17,9,MassAbsorptionCoefficient
283,17,10,AtomicShell
283,17,11,AlgorithmUser
283,17,12,CorrectionAlgorithm
283,17,13,Armstrong1982ParticleCorrection
283,17,14,SpectrumProperties
283,17,15,QuantifyUsingSTEMinSEM
283,17,16,FilterFit
284,17,0,FilteredSpectrum
284,17,1,DerivedSpectrum
284,17,2,BaseSpectrum
284,17,3,SpectrumUtils
284,17,4,EDSDetector
284,17,5,Element
284,17,6,BetheElectronEnergyLoss
284,17,7,LitReference
284,17,8,Riveros1993
284,17,9,MassAbsorptionCoefficient
284,17,10,Material
284,17,11,Composition
284,17,12,AlgorithmUser
284,17,13,CorrectionAlgorithm
284,17,14,SpectrumProperties
284,17,15,QuantifyUsingSTEMinSEM
284,17,16,FilterFit
285,18,0,FilteredSpectrum
285,18,1,DerivedSpectrum
285,18,2,BaseSpectrum
285,18,3,SpectrumUtils
285,18,4,EDSDetector
285,18,5,Element
285,18,6,BetheElectronEnergyLoss
285,18,7,LitReference
285,18,8,Riveros1993
285,18,9,MassAbsorptionCoefficient
285,18,10,Material
285,18,11,Composition
285,18,12,AlgorithmUser
285,18,13,CorrectionAlgorithm
285,18,14,Fluorescence
285,18,15,SpectrumProperties
285,18,16,QuantifyUsingSTEMinSEM
285,18,17,FilterFit
286,18,0,FilteredSpectrum
286,18,1,DerivedSpectrum
286,18,2,BaseSpectrum
286,18,3,SpectrumUtils
286,18,4,EDSDetector
286,18,5,Element
286,18,6,BetheElectronEnergyLoss
286,18,7,LitReference
286,18,8,Riveros1993
286,18,9,MassAbsorptionCoefficient
286,18,10,Material
286,18,11,Composition
286,18,12,AlgorithmUser
286,18,13,CorrectionAlgorithm
286,18,14,PAP1991
286,18,15,SpectrumProperties
286,18,16,QuantifyUsingSTEMinSEM
286,18,17,FilterFit
287,18,0,FilteredSpectrum
287,18,1,DerivedSpectrum
287,18,2,BaseSpectrum
287,18,3,SpectrumUtils
287,18,4,EDSDetector
287,18,5,Element
287,18,6,BetheElectronEnergyLoss
287,18,7,LitReference
287,18,8,Riveros1993
287,18,9,MassAbsorptionCoefficient
287,18,10,Material
287,18,11,Composition
287,18,12,AlgorithmUser
287,18,13,CorrectionAlgorithm
287,18,14,XPP1991
287,18,15,SpectrumProperties
287,18,16,QuantifyUsingSTEMinSEM
287,18,17,FilterFit
288,19,0,FilteredSpectrum
288,19,1,DerivedSpectrum
288,19,2,BaseSpectrum
288,19,3,SpectrumUtils
288,19,4,EDSDetector
288,19,5,Element
288,19,6,BetheElectronEnergyLoss
288,19,7,LitReference
288,19,8,Riveros1993
288,19,9,MassAbsorptionCoefficient
288,19,10,Material
288,19,11,Composition
288,19,12,AlgorithmUser
288,19,13,CorrectionAlgorithm
288,19,14,XPP1991
288,19,15,PAP1991
288,19,16,SpectrumProperties
288,19,17,QuantifyUsingSTEMinSEM
288,19,18,FilterFit
289,19,0,FilteredSpectrum
289,19,1,DerivedSpectrum
289,19,2,BaseSpectrum
289,19,3,SpectrumUtils
289,19,4,EDSDetector
289,19,5,Element
289,19,6,BetheElectronEnergyLoss
289,19,7,LitReference
289,19,8,Riveros1993
289,19,9,MassAbsorptionCoefficient
289,19,10,Material
289,19,11,Composition
289,19,12,AlgorithmUser
289,19,13,CorrectionAlgorithm
289,19,14,XPP1989Ext
289,19,15,XPP1991
289,19,16,SpectrumProperties
289,19,17,QuantifyUsingSTEMinSEM
289,19,18,FilterFit
290,20,0,FilteredSpectrum
290,20,1,DerivedSpectrum
290,20,2,BaseSpectrum
290,20,3,SpectrumUtils
290,20,4,EDSDetector
290,20,5,Element
290,20,6,BetheElectronEnergyLoss
290,20,7,LitReference
290,20,8,Riveros1993
290,20,9,MassAbsorptionCoefficient
290,20,10,Material
290,20,11,Composition
290,20,12,AlgorithmUser
290,20,13,CorrectionAlgorithm
290,20,14,XPP1989Ext
290,20,15,XPP1991
290,20,16,PAP1991
290,20,17,SpectrumProperties
290,20,18,QuantifyUsingSTEMinSEM
290,20,19,FilterFit
291,19,0,FilteredSpectrum
291,19,1,DerivedSpectrum
291,19,2,BaseSpectrum
291,19,3,SpectrumUtils
291,19,4,EDSDetector
291,19,5,Element
291,19,6,BetheElectronEnergyLoss
291,19,7,LitReference
291,19,8,Riveros1993
291,19,9,MassAbsorptionCoefficient
291,19,10,Material
291,19,11,Composition
291,19,12,AlgorithmUser
291,19,13,CorrectionAlgorithm
291,19,14,XPP1989Ext
291,19,15,PAP1991
291,19,16,SpectrumProperties
291,19,17,QuantifyUsingSTEMinSEM
291,19,18,FilterFit
292,18,0,FilteredSpectrum
292,18,1,DerivedSpectrum
292,18,2,BaseSpectrum
292,18,3,SpectrumUtils
292,18,4,EDSDetector
292,18,5,Element
292,18,6,BetheElectronEnergyLoss
292,18,7,LitReference
292,18,8,Riveros1993
292,18,9,MassAbsorptionCoefficient
292,18,10,Material
292,18,11,Composition
292,18,12,AlgorithmUser
292,18,13,CorrectionAlgorithm
292,18,14,XPP1989Ext
292,18,15,SpectrumProperties
292,18,16,QuantifyUsingSTEMinSEM
292,18,17,FilterFit
293,19,0,FilteredSpectrum
293,19,1,DerivedSpectrum
293,19,2,BaseSpectrum
293,19,3,SpectrumUtils
293,19,4,EDSDetector
293,19,5,Element
293,19,6,BetheElectronEnergyLoss
293,19,7,LitReference
293,19,8,Riveros1993
293,19,9,MassAbsorptionCoefficient
293,19,10,Material
293,19,11,Composition
293,19,12,AlgorithmUser
293,19,13,CorrectionAlgorithm
293,19,14,Armstrong1982Correction
293,19,15,Armstrong1982Base
293,19,16,SpectrumProperties
293,19,17,QuantifyUsingSTEMinSEM
293,19,18,FilterFit
294,19,0,FilteredSpectrum
294,19,1,DerivedSpectrum
294,19,2,BaseSpectrum
294,19,3,SpectrumUtils
294,19,4,EDSDetector
294,19,5,Element
294,19,6,BetheElectronEnergyLoss
294,19,7,LitReference
294,19,8,Riveros1993
294,19,9,MassAbsorptionCoefficient
294,19,10,Material
294,19,11,Composition
294,19,12,AlgorithmUser
294,19,13,CorrectionAlgorithm
294,19,14,Armstrong1982ParticleCorrection
294,19,15,Armstrong1982Base
294,19,16,SpectrumProperties
294,19,17,QuantifyUsingSTEMinSEM
294,19,18,FilterFit
295,20,0,FilteredSpectrum
295,20,1,DerivedSpectrum
295,20,2,BaseSpectrum
295,20,3,SpectrumUtils
295,20,4,EDSDetector
295,20,5,Element
295,20,6,BetheElectronEnergyLoss
295,20,7,LitReference
295,20,8,Riveros1993
295,20,9,MassAbsorptionCoefficient
295,20,10,Material
295,20,11,Composition
295,20,12,AlgorithmUser
295,20,13,CorrectionAlgorithm
295,20,14,Armstrong1982ParticleCorrection
295,20,15,Armstrong1982Correction
295,20,16,Armstrong1982Base
295,20,17,SpectrumProperties
295,20,18,QuantifyUsingSTEMinSEM
295,20,19,FilterFit
296,18,0,FilteredSpectrum
296,18,1,DerivedSpectrum
296,18,2,BaseSpectrum
296,18,3,SpectrumUtils
296,18,4,EDSDetector
296,18,5,Element
296,18,6,BetheElectronEnergyLoss
296,18,7,LitReference
296,18,8,Riveros1993
296,18,9,MassAbsorptionCoefficient
296,18,10,Material
296,18,11,Composition
296,18,12,AlgorithmUser
296,18,13,CorrectionAlgorithm
296,18,14,Armstrong1982ParticleCorrection
296,18,15,SpectrumProperties
296,18,16,QuantifyUsingSTEMinSEM
296,18,17,FilterFit
297,17,0,FilteredSpectrum
297,17,1,DerivedSpectrum
297,17,2,BaseSpectrum
297,17,3,SpectrumUtils
297,17,4,EDSDetector
297,17,5,Element
297,17,6,BetheElectronEnergyLoss
297,17,7,LitReference
297,17,8,Riveros1993
297,17,9,MassAbsorptionCoefficient
297,17,10,XRayTransition
297,17,11,AtomicShell
297,17,12,AlgorithmUser
297,17,13,CorrectionAlgorithm
297,17,14,SpectrumProperties
297,17,15,QuantifyUsingSTEMinSEM
297,17,16,FilterFit
298,18,0,FilteredSpectrum
298,18,1,DerivedSpectrum
298,18,2,BaseSpectrum
298,18,3,SpectrumUtils
298,18,4,EDSDetector
298,18,5,Element
298,18,6,BetheElectronEnergyLoss
298,18,7,LitReference
298,18,8,Riveros1993
298,18,9,MassAbsorptionCoefficient
298,18,10,XRayTransition
298,18,11,AtomicShell
298,18,12,AlgorithmUser
298,18,13,CorrectionAlgorithm
298,18,14,Fluorescence
298,18,15,SpectrumProperties
298,18,16,QuantifyUsingSTEMinSEM
298,18,17,FilterFit
299,18,0,FilteredSpectrum
299,18,1,DerivedSpectrum
299,18,2,BaseSpectrum
299,18,3,SpectrumUtils
299,18,4,EDSDetector
299,18,5,Element
299,18,6,BetheElectronEnergyLoss
299,18,7,LitReference
299,18,8,Riveros1993
299,18,9,MassAbsorptionCoefficient
299,18,10,XRayTransition
299,18,11,AtomicShell
299,18,12,AlgorithmUser
299,18,13,CorrectionAlgorithm
299,18,14,PAP1991
299,18,15,SpectrumProperties
299,18,16,QuantifyUsingSTEMinSEM
299,18,17,FilterFit
300,18,0,FilteredSpectrum
300,18,1,DerivedSpectrum
300,18,2,BaseSpectrum
300,18,3,SpectrumUtils
300,18,4,EDSDetector
300,18,5,Element
300,18,6,BetheElectronEnergyLoss
300,18,7,LitReference
300,18,8,Riveros1993
300,18,9,MassAbsorptionCoefficient
300,18,10,XRayTransition
300,18,11,AtomicShell
300,18,12,AlgorithmUser
300,18,13,CorrectionAlgorithm
300,18,14,XPP1991
300,18,15,SpectrumProperties
300,18,16,QuantifyUsingSTEMinSEM
300,18,17,FilterFit
301,19,0,FilteredSpectrum
301,19,1,DerivedSpectrum
301,19,2,BaseSpectrum
301,19,3,SpectrumUtils
301,19,4,EDSDetector
301,19,5,Element
301,19,6,BetheElectronEnergyLoss
301,19,7,LitReference
